approach,accuracy,precision,recall,f1,training_time,inference_time
GA,0.605,0.4649122807017544,0.7464788732394366,0.572972972972973,0.17057733400724828,0.0003957499866373837
GA+AL,0.43,0.37572254335260113,0.9154929577464789,0.5327868852459017,0.13523616699967533,0.00041387503733858466
GA+AL+EL,0.41,0.3672316384180791,0.9154929577464789,0.5241935483870968,0.1344562919693999,0.004063667031005025
