Approach,accuracy,precision,recall,f1,training_time,inference_time
GA,0.469,0.3931275480489225,0.9712230215827338,0.5597014925373134,9.611206249974202,0.0
GA+AL,0.6485,0.4954233409610984,0.6230215827338129,0.5519439133205863,3.0782468339893967,0.0
GA+AL+EL,0.535,0.41276911655530807,0.8,0.544564152791381,3.0814496660022996,0.0
